scenario,n,method,usable_replications,median_absolute_bias,median_se_to_sd,median_coverage,mean_coverage,median_interval_width,stabilization_frequency
nsn_p5_separated_balanced,500,corrected_stabilized,941.0,0.0139810563797569,0.9274060755769726,0.9054197662061637,0.8961558009518089,0.3022306353822892,0.0393198724760892
nsn_p5_separated_balanced,500,naive,941.0,0.0139810563797569,0.9136490885791996,0.9043570669500531,0.8950931016956983,0.3001359247919549,0.0
nsn_p5_separated_balanced,2000,corrected_stabilized,987.0,0.0039373351648195505,0.9772273056898628,0.9463019250253292,0.9457072375666271,0.12937005551068692,0.0182370820668693
nsn_p5_separated_balanced,2000,naive,987.0,0.0039373351648195505,0.969232818984163,0.9447821681864235,0.9443416589577552,0.12716785997587254,0.0
nsn_p5_strong_balanced,500,corrected_stabilized,954.0,0.0316217564419474,1.5148723314230736,0.8852201257861635,0.8709096709506882,1.0176792085358592,0.2830188679245283
nsn_p5_strong_balanced,500,naive,954.0,0.0316217564419474,0.9046358323243574,0.8684486373165619,0.8583994166438792,0.43974420608468534,0.0
nsn_p5_strong_balanced,2000,corrected_stabilized,987.0,0.00362874194769675,1.0027778292703342,0.9442755825734548,0.9436148187304524,0.15025056408606313,0.1732522796352583
nsn_p5_strong_balanced,2000,naive,987.0,0.00362874194769675,0.8716950456150685,0.92806484295846,0.9264569842738205,0.126245158348819,0.0
nt_p10_moderate_balanced,1000,corrected_stabilized,500.0,0.003103716879716,1.0000001998988126,0.942,0.9428181818181818,0.2006404055475352,0.8
nt_p10_moderate_balanced,1000,naive,500.0,0.003103716879716,0.8783161205603542,0.92,0.9202727272727272,0.1730180974698121,0.0
nt_p2_moderate_balanced,500,corrected_stabilized,1000.0,0.0067409693124691,0.9199948220613983,0.9245000000000001,0.9225833333333333,0.29215316957120296,0.105
nt_p2_moderate_balanced,500,naive,1000.0,0.0067409693124691,0.7583888694229936,0.8855,0.8868333333333333,0.24110229357490232,0.0
nt_p2_moderate_balanced,2000,corrected_stabilized,1000.0,0.0024525287147063,0.9941211785205806,0.94,0.9409166666666667,0.15575025117451954,0.034
nt_p2_moderate_balanced,2000,naive,1000.0,0.0024525287147063,0.827447767418718,0.8955,0.8928333333333334,0.12098222256560395,0.0
nt_p2_moderate_imbalanced,500,corrected_stabilized,1000.0,0.029784552237229752,0.8441924519258699,0.8945000000000001,0.89575,0.35603752186445886,0.217
nt_p2_moderate_imbalanced,500,naive,1000.0,0.029784552237229752,0.6154693732181449,0.834,0.8432499999999999,0.25948744896409126,0.0
nt_p2_moderate_imbalanced,2000,corrected_stabilized,1000.0,0.0061581724194922,1.0088728376540752,0.9315,0.9279166666666666,0.2029006410729397,0.104
nt_p2_moderate_imbalanced,2000,naive,1000.0,0.0061581724194922,0.7600684769906918,0.865,0.85875,0.13273283525875465,0.0
nt_p2_separated_balanced,500,corrected_stabilized,1000.0,0.005049822043653051,0.9770099324554926,0.9404999999999999,0.9381666666666666,0.264918379469834,0.051
nt_p2_separated_balanced,500,naive,1000.0,0.005049822043653051,0.8841994641772102,0.9275,0.9284166666666667,0.2474251640048406,0.0
nt_p2_separated_balanced,2000,corrected_stabilized,1000.0,0.0011233401439652,1.0043245244718824,0.948,0.9482499999999999,0.1331935336510673,0.01
nt_p2_separated_balanced,2000,naive,1000.0,0.0011233401439652,0.9446119571643963,0.938,0.9364166666666667,0.12356012476389311,0.0
nt_p2_strong_balanced,500,corrected_stabilized,1000.0,0.01068720717258155,0.6749423195580444,0.8434999999999999,0.8605,0.3242935777804481,0.328
nt_p2_strong_balanced,500,naive,1000.0,0.01068720717258155,0.4905393190374492,0.7495,0.7700833333333333,0.2472694454957868,0.0
nt_p2_strong_balanced,2000,corrected_stabilized,1000.0,0.00455625559850765,0.9104091117340667,0.8915,0.8924166666666666,0.1919901649053058,0.272
