scenario,n,coordinate,coordinate_name,replications,mean_root_n_error,sd_root_n_error,skewness,excess_kurtosis,ks_distance,q010,q025,q050,q100,q250,q500,q750,q900,q950,q975,q990
nt_p10_moderate_balanced,1000,88.0,component_2_student_t_coordinate_22,500,0.06196773333832982,1.8166379690682177,0.6560660759853834,3.421644379256476,0.02671961344502294,-2.038649858069681,-1.7854605909485817,-1.4958955176335806,-1.2325826616929347,-0.6740598915694894,-0.009493041663895184,0.6638214895618364,1.3098493896688996,1.551175119136111,1.7536795392636797,2.007753596477398
nt_p10_moderate_balanced,1000,89.0,component_2_student_t_coordinate_23,500,-0.002486781566794841,1.6261937577072159,-0.0805375330110814,-0.19522743953478328,0.01853161642040685,-2.2478410584257382,-1.9483364250974486,-1.648301039144472,-1.322628374427243,-0.6624029894756132,0.0230752958407293,0.6821282576290466,1.3202672152066668,1.6416511187687204,1.9437262479205928,2.131499982440997
nt_p10_moderate_balanced,1000,90.0,component_2_student_t_coordinate_24,500,-0.2965986746160474,1.445402710942635,4.1480508792699045,55.33518817901942,0.06832297334068271,-2.1912386556665298,-1.6968002303988816,-1.3443419613711496,-1.056923494271344,-0.5146757280919841,0.0008358700097776334,0.5456806622539353,0.966214303109739,1.2836703846394175,1.5517323008326025,1.8738855250551527
nt_p10_moderate_balanced,1000,91.0,component_2_student_t_coordinate_25,500,-0.027144978673524403,1.7716379180200095,0.011779994424154392,0.18691878564930198,0.02929178173727609,-2.5141427621937003,-1.8604554847316768,-1.6482335816895437,-1.2142998636066336,-0.6368281452954024,-0.011030098245180397,0.6633490590968105,1.3019961252962329,1.7260034231475618,2.070182698103576,2.1683841544877223
nt_p10_moderate_balanced,1000,92.0,component_2_student_t_coordinate_26,500,0.0010189850620207763,1.7455780324305445,0.09981695800195606,1.1309921146141604,0.02283033173520621,-2.347988133604073,-2.0035559504727987,-1.6137931678231054,-1.2088249199140015,-0.641472777329956,0.027514649807532272,0.6488542314501053,1.2183964294706309,1.5447618045266607,1.7771492400010702,2.3576315920700903
nt_p10_moderate_balanced,1000,93.0,component_2_student_t_coordinate_27,500,-0.08827534423674738,1.6933787886583276,0.15762865845871885,-0.18823391332439154,0.02251518991726642,-2.098280159853877,-1.841391164570012,-1.6118907485974983,-1.2702945783212645,-0.711974150932745,0.020014716481983635,0.7042835508515758,1.2787092258729191,1.674652109990868,1.9085262397483043,2.3125264311828166
nt_p10_moderate_balanced,1000,94.0,component_2_student_t_coordinate_28,500,-0.08354120189118805,1.6864713386896983,-0.044187837081892986,0.21451241551856626,0.03911690298273102,-2.3304919324468227,-1.9787041160130232,-1.776831783129839,-1.2947547607318703,-0.5757982044854725,-0.021513559486637704,0.6623683849465665,1.2248715789021916,1.6197045675766735,2.0132821326022525,2.512532166874787
nt_p10_moderate_balanced,1000,95.0,component_2_student_t_coordinate_29,500,-0.13877494456235787,1.7240281066409002,0.14451028558217616,0.06392524466659744,0.02645330140221608,-2.1628302281905847,-1.962515210599826,-1.705524720577974,-1.2243338188989341,-0.7153521468773709,0.0018507265043362846,0.6599015348983497,1.2342871597371128,1.631863495297515,1.9553543062812904,2.304682284707784
nt_p10_moderate_balanced,1000,96.0,component_2_student_t_coordinate_30,500,-0.10650784206039003,1.5704107325004788,4.505693276557772,58.36826604353888,0.07167375402228537,-1.819540041505693,-1.537892586125411,-1.329755228300146,-1.098081584231558,-0.613875795734761,0.001263579824063927,0.5206978936679079,1.0375528058537253,1.4082655748558284,1.5889427419500506,1.8405696176263975
nt_p10_moderate_balanced,1000,97.0,component_2_student_t_coordinate_31,500,-0.1479182539012127,1.665065549990492,-0.05384065151996346,-0.11907338723332117,0.025620743772892085,-2.314140700378486,-1.980711254261042,-1.7397335298750236,-1.2425605892734233,-0.6582765766975303,-0.012078887429359335,0.647431390476356,1.3009628642160045,1.670507742265956,2.005657233577168,2.2429995143076895
nt_p10_moderate_balanced,1000,98.0,component_2_student_t_coordinate_32,500,-0.006439284088617674,1.814246467895364,0.015813633034130768,-0.18252872584974922,0.03021984090843932,-2.266162475454425,-1.961225021830505,-1.656359443919433,-1.3332475058420383,-0.645813492171708,-0.042090769966257324,0.7077346903393856,1.3411095123081518,1.6109651445219608,1.9250593588212708,2.161016364297862
nt_p10_moderate_balanced,1000,99.0,component_2_student_t_coordinate_33,500,0.04604493484405263,1.7752064336568223,0.04405684711918841,-0.07304786236126848,0.018689914832290766,-2.1916444861938764,-1.9293938740559453,-1.609409057777935,-1.323360441733685,-0.6656722401162936,-0.017888747903449482,0.6984937147570311,1.2716379816969539,1.5234214069874465,1.8987169317215413,2.239805461672655
nt_p10_moderate_balanced,1000,100.0,component_2_student_t_coordinate_34,500,0.011130479024218133,1.8657167960986416,-1.145473663757071,9.8703598479004,0.035457670234033116,-2.183086777794954,-1.7020225013638672,-1.3706523556972494,-1.1601808255041057,-0.6297204630873328,-0.004258398582006441,0.6020564544349176,1.2710729038328858,1.5498342621663095,1.7970204195703228,2.2702287094056053
nt_p10_moderate_balanced,1000,101.0,component_2_student_t_coordinate_35,500,0.11845354987163412,1.7323291671235703,0.09113540283082436,-0.24158665842035676,0.02642860436334149,-2.041679968571136,-1.7818687848858026,-1.6319850396763822,-1.3360032615339372,-0.7395132700447395,0.01898686675772237,0.6420017997731621,1.271169238727483,1.678222895266113,1.9917468108827483,2.39580016506055
nt_p10_moderate_balanced,1000,102.0,component_2_student_t_coordinate_36,500,0.06834156638948466,1.6136113157623533,0.3230466786255713,0.829990172543932,0.04079053018528234,-2.1762142098605306,-1.8504917193678123,-1.4972059494742862,-1.2246890376217154,-0.6536261166144295,-0.06509437900667216,0.6980965650077573,1.2903530313645728,1.7255110074212834,1.9426680896027804,2.19270736295838
nt_p10_moderate_balanced,1000,103.0,component_2_student_t_coordinate_37,500,-0.39205441538707664,1.3942698882375224,1.3044272872681129,12.888955760846502,0.037543671670007744,-2.212075753429006,-1.8691833313459383,-1.6749481032778062,-1.1797790720565047,-0.663713456554863,0.021016665579264737,0.6733630671433231,1.1284612166770087,1.4734689791435251,1.6676496610403782,1.8547914482482273
nt_p10_moderate_balanced,1000,104.0,component_2_student_t_coordinate_38,500,0.07068675491077701,1.730077684911428,-0.11807628894446855,-0.31711089511354995,0.03637506774030819,-2.268017935145983,-1.9426471969429293,-1.6896632500650501,-1.3028184305739827,-0.7152550398502406,0.03920245012241155,0.7545693639624624,1.252747188241055,1.5679793538400877,1.748301671363786,2.152934900075103
nt_p10_moderate_balanced,1000,105.0,component_2_student_t_coordinate_39,500,-0.06910453552270622,1.755929410085993,-0.0218338942591457,0.27863650226776837,0.0248013222206388,-2.210632092598081,-1.9062563412155404,-1.6447215682491052,-1.296462349756917,-0.6857565546215783,0.019091375345089076,0.6559376172765913,1.2396846840291567,1.6116594961929303,1.9186899410846567,2.3264333811663214
nt_p10_moderate_balanced,1000,106.0,component_2_student_t_coordinate_40,500,0.010805812496289641,1.5801029008677865,-0.06481290064867405,-0.1631241056461712,0.03514361861169346,-2.359169855959856,-1.9727523257811217,-1.7397165597340296,-1.3011761394901036,-0.6973249166611805,0.08343191634356875,0.6523281411336576,1.3732864069913144,1.5918774928411987,2.0131888457937177,2.161978643718343
nt_p10_moderate_balanced,1000,107.0,component_2_student_t_coordinate_41,500,-0.04404012625593849,1.632350493389491,0.0017204558222946261,0.5718847310894564,0.021421834517301452,-2.3767540412316768,-1.9295437335864878,-1.5980685139873643,-1.2207181595869148,-0.6381585996344902,-0.0179733853786228,0.6724837861609921,1.237644069154412,1.5976209095569773,1.992079287638276,2.130017319999777
nt_p10_moderate_balanced,1000,108.0,component_2_student_t_coordinate_42,500,-0.10446274359531108,1.7246689420263865,-0.05170116786004803,0.13179986784345488,0.02312491014589413,-2.297441040241153,-1.9737215082509638,-1.5627802661030548,-1.2703555298558689,-0.6960729870879941,0.0019676845163397625,0.7241521475100574,1.2740829478273812,1.6249035006679713,1.9621235248085027,2.145130742458265
nt_p10_moderate_balanced,1000,109.0,component_2_student_t_coordinate_43,500,0.14859780833439876,1.736406813109926,-0.023788082124183128,0.11260838360407455,0.019350876848561127,-2.391432680376938,-1.988156066704971,-1.5925175770114801,-1.2364341149859344,-0.6258955881760558,-0.005329849634449995,0.6553114768148268,1.2897455646798652,1.6373878400941964,1.849282354933496,2.266103967663571
nt_p10_moderate_balanced,1000,110.0,component_2_student_t_coordinate_44,500,-0.08496160302887704,1.672001981152286,0.14058825872177233,-0.14738684183171946,0.03157038052093186,-2.1402734719570042,-1.75797515857718,-1.547729893391224,-1.2460050962141274,-0.7498592601377084,-0.020421123012628647,0.6954379213752055,1.2960973347218463,1.6804634030547483,2.037594593785311,2.294618910103904
