scenario,n,method,bandwidth_multiplier,coordinate,coordinate_name,replications,bias,bias_mcse,rmse,empirical_sd,mean_estimated_se,median_estimated_se,se_to_empirical_sd,coverage_95,coverage_mcse,mean_interval_width_95,minimum_curvature_eigenvalue,mean_fit_seconds,mean_boundary_shrinkage_factor,stabilization_frequency,median_minimum_kernel_support,selected_admissible_rate
nt_p10_moderate_balanced,1000,corrected_raw,0.75,75.0,component_2_student_t_coordinate_9,160.0,0.00388635256680112,0.004349920001289214,0.05498791299071442,0.05502261937438599,0.0777266772889723,0.0524726239931572,1.412631353663898,0.9625,0.01501951855087239,0.3046885749727716,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,76.0,component_2_student_t_coordinate_10,160.0,0.0012131399964564673,0.0031984017416285754,0.0403485529738867,0.04045693750318273,0.05019032269916991,0.038778084125959,1.240586307236465,0.9625,0.01501951855087239,0.19674606498074615,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,77.0,component_2_student_t_coordinate_11,160.0,0.0050256874065556035,0.004506746770757014,0.057049709906091976,0.057006338532803597,0.06607950812346443,0.05154613954188635,1.1591607148289271,0.90625,0.023043564380863475,0.2590316718439807,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,78.0,component_2_student_t_coordinate_12,160.0,-0.0020339341947906244,0.0027760912626346363,0.03506421876167278,0.03511508552967256,0.054973933721179424,0.039025329333032946,1.5655360905991802,0.975,0.012342761036332193,0.21549782018702351,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,79.0,component_2_student_t_coordinate_13,160.0,-0.005270921959560635,0.0044521130813519015,0.05638591180142209,0.056315270950810105,0.09292483258802138,0.05264299059498005,1.650082313715382,0.9375,0.019136638615493577,0.36426534374504393,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,80.0,component_2_student_t_coordinate_14,160.0,0.0014971831316013995,0.004766669163944135,0.06012405516405521,0.060294125642216145,0.06759911825569334,0.05106786300778505,1.1211559589871962,0.93125,0.020003661774160245,0.26498854356231805,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,81.0,component_2_student_t_coordinate_15,160.0,-0.004823046360582592,0.0030507100468761842,0.038769163401136085,0.03858876891555115,0.06158653339989326,0.038736984816081746,1.5959704113565045,0.95,0.017230060940112785,0.24141921092758167,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,82.0,component_2_student_t_coordinate_16,160.0,0.004805705252615404,0.004094931928028959,0.051858279326548636,0.05179724702366483,0.06778769507109403,0.0526008981081245,1.3087123151568958,0.95625,0.01617017654124406,0.2657277646786887,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,83.0,component_2_student_t_coordinate_17,160.0,0.004839166190475044,0.004326221031630154,0.054765787562378127,0.054722848485098556,0.06612745590054969,0.05255109334106955,1.208406684431946,0.91875,0.02159983181358133,0.25921962713015495,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,84.0,component_2_student_t_coordinate_18,160.0,-0.003997313747166116,0.0041780085933185405,0.05283411483428462,0.052848092954570984,0.0674917453038517,0.05165920426231205,1.2770895131801372,0.95625,0.01617017654124406,0.2645676415910988,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
