scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
nt_p2_strong_balanced,8000,212,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,22.17715985211544,kmeans,-3.580306654839641,1.998348006715389e-05,4.0,4.0,True,0.4715,,,1.0,1.0413181088762415,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0157258.
nt_p2_strong_balanced,8000,212,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,22.17715985211544,kmeans,-3.580306654839641,1.998348006715389e-05,4.0,4.0,True,0.4715,,,1.0,1.0153820115424748,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00546294.
nt_p2_strong_balanced,8000,217,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,23.251815520925447,kmeans,-3.5631134010419063,0.0008853847729883,4.0,4.0,True,0.4515,,,1.0,1.0297442183608307,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0129551.
nt_p2_strong_balanced,8000,217,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,23.251815520925447,kmeans,-3.5631134010419063,0.0008853847729883,4.0,4.0,True,0.4515,,,1.0,1.0190753184214598,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00853795.
nt_p2_strong_balanced,8000,232,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.881643692962825,kmeans,-3.57584343904541,0.0001441231504037,4.0,4.0,True,0.470875,,,1.0,1.0528158706336734,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0192459.
nt_p2_strong_balanced,8000,232,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,21.881643692962825,kmeans,-3.57584343904541,0.0001441231504037,4.0,4.0,True,0.470875,,,1.0,1.036589571518564,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0129843.
nt_p2_strong_balanced,8000,232,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,21.881643692962825,kmeans,-3.57584343904541,0.0001441231504037,4.0,4.0,True,0.470875,,,1.0,1.0010909098965113,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00034842.
nt_p2_strong_balanced,8000,278,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,23.51497761392966,kmeans,-3.5921537866793827,0.023166424338763,4.0,4.0,True,0.47025,,,1.0,1.0072313146516392,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00300913.
nt_p2_strong_balanced,8000,316,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.49154545296915,kmeans,-3.58290496232097,6.245926541570412e-05,4.0,4.0,True,0.458375,,,1.0,1.0310880691758777,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0117464.
nt_p2_strong_balanced,8000,316,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,21.49154545296915,kmeans,-3.58290496232097,6.245926541570412e-05,4.0,4.0,True,0.458375,,,1.0,1.0143459053681354,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00546811.
